Unnamed: 0,Question_ZH-CN,A_ZH-CN,B_ZH-CN,C_ZH-CN,D_ZH-CN,Answer_ZH-CN,Subject,Subcategory_ZH-CN,Question_EN-US,A_EN-US,B_EN-US,C_EN-US,D_EN-US,Answer_EN-US,Subcategory_EN-US,Question_ZH-PY,A_ZH-PY,B_ZH-PY,C_ZH-PY,D_ZH-PY,Answer_ZH-PY,Subject_ZH-PY,Subcategory_ZH-PY
157,人血红蛋白分子的氨基酸序列与黑猩猩血红蛋白的相似性比与狗血红蛋白的相似性更高。这种相似性表明，,人与狗的亲缘关系比人与黑猩猩的亲缘关系更近,人与大猩猩的亲缘关系比人与狗的亲缘关系更近,人与黑猩猩有亲缘关系，但与犬无亲缘关系,人和黑猩猩非常相似,B,high_school_biology,biology,The sequence of amino acids in hemoglobin molecules of humans is more similar to the hemoglobin of chimpanzees than it is to the hemoglobin of dogs. This similarity suggests that,humans and dogs are more closely related than humans and chimpanzees,humans and chimpanzees are more closely related than humans and dogs,humans are related to chimpanzees but not to dogs,humans and chimpanzees are closely analogous,B,biology,ren xue hong dan bai fen zi de an ji suan xu lie yu hei xing xing xue hong dan bai de xiang si xing bi yu gou xue hong dan bai de xiang si xing geng gao 。 zhe zhong xiang si xing biao ming ，,ren yu gou de qin yuan guan xi bi ren yu hei xing xing de qin yuan guan xi geng jin,ren yu da xing xing de qin yuan guan xi bi ren yu gou de qin yuan guan xi geng jin,ren yu hei xing xing you qin yuan guan xi ， dan yu quan wu qin yuan guan xi,ren he hei xing xing fei chang xiang si,B,high_school_biology,biology
39,研究从受精卵阶段到胎儿阶段的脊椎动物发育的胚胎学家有理由得出以下哪项结论？,个体发育重演系统发育。,早期胚胎展示了其纲、目和种的相同特征。,早期人类胚胎与早期鱼类和鸟类胚胎有共同特征。,人类胚胎在发育过程中显示出成年鱼类和鸟类的特征。,A,college_biology,biology,An embryologist studying the development of a vertebrate organism from the zygote stage to fetus would be justified in drawing which of the following conclusions?,Ontogeny recapitulates phylogeny.,"Early embryos display identical features of their class, order, and species.",An early human embryo has features in common with early fish and avian embryos.,A human embryo displays features of adult fish and birds in the course of its development.,A,biology,yan jiu cong shou jing luan jie duan dao tai er jie duan de ji zhui dong wu fa yu de pei tai xue jia you li you de chu yi xia na xiang jie lun ？,ge ti fa yu chong yan xi tong fa yu 。,zao qi pei tai zhan shi le qi gang 、 mu he zhong de xiang tong te zheng 。,zao qi ren lei pei tai yu zao qi yu lei he niao lei pei tai you gong tong te zheng 。,ren lei pei tai zai fa yu guo cheng zhong xian shi chu cheng nian yu lei he niao lei de te zheng 。,A,college_biology,biology
194,以下哪项不是防止种间繁殖的示例,潜在配偶出现地理隔离,潜在配偶出现行为隔离,潜在配偶求爱仪式不同,潜在配偶繁殖季节相似,D,high_school_biology,biology,All of the following are examples of events that can prevent interspecific breeding EXCEPT,the potential mates experience geographic isolation,the potential mates experience behavioral isolation,the potential mates have different courtship rituals,the potential mates have similar breeding seasons,D,biology,yi xia na xiang bu shi fang zhi zhong jian fan zhi de shi li,qian zai pei ou chu xian di li ge li,qian zai pei ou chu xian xing wei ge li,qian zai pei ou qiu ai yi shi bu tong,qian zai pei ou fan zhi ji jie xiang si,D,high_school_biology,biology
266,细胞凋亡是程序性细胞死亡，是生物体的一个必要过程。关于细胞凋亡，以下哪项不正确？,随机发生。,在生物体不再需要时，特定细胞死亡。,积累了太多突变时，细胞会凋亡。,植物细胞被寄生虫感染时，凋亡会作为防御措施。,A,high_school_biology,biology,"Apoptosis, which is programmed cell death, is a necessary process in living organisms. Which of the following is NOT correct about apoptosis?",It occurs randomly.,A particular cell dies when it is no longer needed by the organism.,A cell carries out apoptosis when too many mutations have accumulated.,Plant cells carry out apoptosis as a defense measure in cells that have been infected by parasites.,A,biology,xi bao diao wang shi cheng xu xing xi bao si wang ， shi sheng wu ti de yi ge bi yao guo cheng 。 guan yu xi bao diao wang ， yi xia na xiang bu zheng que ？,sui ji fa sheng 。,zai sheng wu ti bu zai xu yao shi ， te ding xi bao si wang 。,ji lei le tai duo tu bian shi ， xi bao hui diao wang 。,zhi wu xi bao bei ji sheng chong gan ran shi ， diao wang hui zuo wei fang yu cuo shi 。,A,high_school_biology,biology
11,导致野生猫和驯化猫不同斑纹的基因也会导致这些猫出现交叉眼（斜视），交叉眼略微适应不良。假设与交叉眼相关的斑纹模式具有高度适应性，结果是猫种群的斑纹模式和交叉眼均随时间增加。这些观察结果可支持以下哪种说法？,进化是渐进的，倾向于进化为更完美的种群。,表型通常是折中的结果。,自然选择会随时间减少种群中适应不良基因的频率。,多基因遗传一般适应不良，后代中应该不太常见。,B,high_school_biology,biology,"The same gene that causes various coat patterns in wild and domesticated cats also causes the cross-eyed condition in these cats, the cross-eyed condition being slightly maladaptive. In a hypothetical environment, the coat pattern that is associated with crossed eyes is highly adaptive, with the result that both the coat pattern and the cross-eyed condition increase in a feline population over time. Which statement is supported by these observations?",Evolution is progressive and tends toward a more perfect population.,Phenotype is often the result of compromise.,Natural selection reduces the frequency of maladaptive genes in populations over the course of time.,"Polygenic inheritance is generally maladaptive, and should become less common in future generations.",B,biology,dao zhi ye sheng mao he xun hua mao bu tong ban wen de ji yin ye hui dao zhi zhe xie mao chu xian jiao cha yan （ xie shi ）， jiao cha yan lve wei shi ying bu liang 。 jia she yu jiao cha yan xiang guan de ban wen mo shi ju you gao du shi ying xing ， jie guo shi mao zhong qun de ban wen mo shi he jiao cha yan jun sui shi jian zeng jia 。 zhe xie guan cha jie guo ke zhi chi yi xia na zhong shuo fa ？,jin hua shi jian jin de ， qing xiang yu jin hua wei geng wan mei de zhong qun 。,biao xing tong chang shi zhe zhong de jie guo 。,zi ran xuan ze hui sui shi jian jian shao zhong qun zhong shi ying bu liang ji yin de pin lv 。,duo ji yin yi chuan yi ban shi ying bu liang ， hou dai zhong ying gai bu tai chang jian 。,B,high_school_biology,biology
111,家系信息支持以下哪种说法？,P 代母体为 X-X。,P 代父亲为 X-Y。,如果第 II 代的父母 1 和 2 生了另一个孩子，孩子患尿黑酸尿症的几率为 25%。,女性 1 的基因型为 X-X。,C,high_school_biology,biology,Which of the following statement is supported by the information given in the pedigree?,The P generation mother is X-X.,The P generation father is X-Y.,"If parents 1 and 2 in row II have another child, the chance that the child would be afflicted with alkaptonuria is 25%.",The genotype of woman 1 is X-X.,C,biology,jia xi xin xi zhi chi yi xia na zhong shuo fa ？,P  dai mu ti wei  X-X。,P  dai fu qin wei  X-Y。,ru guo di  II  dai de fu mu  1  he  2  sheng le ling yi ge hai zi ， hai zi huan niao hei suan niao zheng de ji lv wei  25%。,nv xing  1  de ji yin xing wei  X-X。,C,high_school_biology,biology
100,一个 DNA 分子的核苷酸序列为 5′-C-a-T-3′。在蛋白质合成过程中，具有互补密码子的 mRNA 分子从 DNA 转录，一个 tRNA 与 mRNA 密码子配对。此 tRNA 反密码子的核苷酸序列是什么？,5′-G-T-A-3′,5′-G-U-A-3′,5′-C-A-U-3′,5-′U-A-C-3′,C,high_school_biology,biology,The nucleotide sequence of a DNA molecule is 5â€²-C-A-T-3â€². A mRNA molecule with a complementary codon is transcribed from the DNA in the process of protein synthesis a tRNA pairs with a mRNA codon. What is the nucleotide sequence of the tRNA anticodon?,5â€²-G-T-A-3â€²,5â€²-G-U-A-3â€²,5â€²-C-A-U-3â€²,5-â€²U-A-C-3â€²,C,biology,yi ge  DNA  fen zi de he gan suan xu lie wei  5′-C-a-T-3′。 zai dan bai zhi he cheng guo cheng zhong ， ju you hu bu mi ma zi de  mRNA  fen zi cong  DNA  zhuan lu ， yi ge  tRNA  yu  mRNA  mi ma zi pei dui 。 ci  tRNA  fan mi ma zi de he gan suan xu lie shi shen me ？,5′-G-T-A-3′,5′-G-U-A-3′,5′-C-A-U-3′,5-′U-A-C-3′,C,high_school_biology,biology
101,蓝藻与单细胞绿藻有何不同？,蓝藻还原硫化合物。,蓝藻没有细胞壁。,蓝藻没有细胞核。,绿藻产生细胞膜。,C,college_biology,biology,How do cyanobacteria differ from green unicellular algae?,Cyanobacteria reduce sulfur compounds.,Cyanobacteria lack cell walls.,Cyanobacteria have no nuclei.,Green algae produce cell membranes.,C,biology,lan zao yu dan xi bao lv zao you he bu tong ？,lan zao huan yuan liu hua he wu 。,lan zao mei you xi bao bi 。,lan zao mei you xi bao he 。,lv zao chan sheng xi bao mo 。,C,college_biology,biology
256,在实验室实践练习中，一名学生切下植物叶片盘状部分，并将其放入装有水的烧杯中。在水中加入一滴肥皂以帮助浸没叶片。肥皂帮助浸没叶片盘状部分的方式是什么？,肥皂分子经叶片气孔进入，并与氧分子结合。,肥皂分子与叶片表面气泡结合，并将其去除。,肥皂分子降低了水的 pH 值，以便过量 H + 与叶面结合。,肥皂分子疏水区域附着于蜡质叶面，而亲水区域与水分子形成氢键。,D,high_school_biology,biology,"In a laboratory exercise, a student cuts disks of plant leaves and puts them in a beaker of water. To help submerge the leaves, a drop of soap is added to the water. How does the soap help submerge the leaf disks?",The soap molecules enter through the stomata of the leaf and bond to oxygen molecules.,The soap molecules bond to air bubbles on the surface of the leaf and remove them.,"The soap molecules decrease the pH of the water, allowing excess H+ to bond to the leaf surface.","The hydrophobic regions of the soap molecules attach to the waxy leaf surface, while the hydrophilic regions form hydrogen bonds with the water molecules.",D,biology,zai shi yan shi shi jian lian xi zhong ， yi ming xue sheng qie xia zhi wu ye pian pan zhuang bu fen ， bing jiang qi fang ru zhuang you shui de shao bei zhong 。 zai shui zhong jia ru yi di fei zao yi bang zhu jin mo ye pian 。 fei zao bang zhu jin mo ye pian pan zhuang bu fen de fang shi shi shen me ？,fei zao fen zi jing ye pian qi kong jin ru ， bing yu yang fen zi jie he 。,fei zao fen zi yu ye pian biao mian qi pao jie he ， bing jiang qi qu chu 。,fei zao fen zi jiang di le shui de  pH  zhi ， yi bian guo liang  H +  yu ye mian jie he 。,fei zao fen zi shu shui qu yu fu zhuo yu la zhi ye mian ， er qin shui qu yu yu shui fen zi xing cheng qing jian 。,D,high_school_biology,biology
30,以下所有物质都可能存在于结缔组织中，除了,凝血酶,糖胺聚糖,胶原蛋白,成纤维细胞,A,college_biology,biology,All of the following might be found in connective tissue EXCEPT,thrombin,glycosaminoglycans,collagens,fibroblasts,A,biology,yi xia suo you wu zhi dou ke neng cun zai yu jie di zu zhi zhong ， chu le,ning xue mei,tang an ju tang,jiao yuan dan bai,cheng xian wei xi bao,A,college_biology,biology
